"NWSA","Consumer Discretionary"
"NWS","Consumer Discretionary"
"NEE","Utilities"
"NLSN","Industrials"
"NKE","Consumer Discretionary"
"NI","Utilities"
"JWN","Consumer Discretionary"
"NSC","Industrials"
"NTRS","Financials"
"NOC","Industrials"
"NCLH","Consumer Discretionary"
"NRG","Utilities"
"NUE","Materials"
"NVDA","Information Technology"
"ORLY","Consumer Discretionary"
"OXY","Energy"
"OMC","Consumer Discretionary"
"OKE","Energy"
"ORCL","Information Technology"
"PCAR","Industrials"
"PKG","Materials"
"PH","Industrials"
"PDCO","Health Care"
"PAYX","Information Technology"
"PYPL","Information Technology"
"PNR","Industrials"
"PEP","Consumer Staples"
"PKI","Health Care"
"PRGO","Health Care"
"PFE","Health Care"
"PCG","Utilities"
"PM","Consumer Staples"
"PSX","Energy"
"PNW","Utilities"
"PXD","Energy"
"PNC","Financials"
"RL","Consumer Discretionary"
"PPG","Materials"
"PPL","Utilities"
"PFG","Financials"
"PG","Consumer Staples"
"PGR","Financials"
"PLD","Real Estate"
"PRU","Financials"
"PEG","Utilities"
"PSA","Real Estate"
"PHM","Consumer Discretionary"
"PVH","Consumer Discretionary"
"QRVO","Information Technology"
"QCOM","Information Technology"
"PWR","Industrials"
"DGX","Health Care"
"RRC","Energy"
"RJF","Financials"
"O","Real Estate"
"REG","Real Estate"
"REGN","Health Care"
"RF","Financials"
"RSG","Industrials"
"RMD","Health Care"
"RHI","Industrials"
"ROK","Industrials"
"ROP","Industrials"
"ROST","Consumer Discretionary"
"RCL","Consumer Discretionary"
"SPGI","Financials"
"CRM","Information Technology"
"SBAC","Real Estate"
"SLB","Energy"
"STX","Information Technology"
"SEE","Materials"
"SRE","Utilities"
"SHW","Materials"
"SIG","Consumer Discretionary"
"SPG","Real Estate"
"SWKS","Information Technology"
"SLG","Real Estate"
"SNA","Consumer Discretionary"
"SO","Utilities"
"LUV","Industrials"
"SWK","Consumer Discretionary"
"SBUX","Consumer Discretionary"
"STT","Financials"
"SRCL","Industrials"
"SYK","Health Care"
"SYF","Financials"
"SNPS","Information Technology"
"SYY","Consumer Staples"
"TROW","Financials"
"TPR","Consumer Discretionary"
"TGT","Consumer Discretionary"
"TEL","Information Technology"
"FTI","Energy"
"TXN","Information Technology"
"TXT","Industrials"
"BK","Financials"
"CLX","Consumer Staples"
"COO","Health Care"
"HSY","Consumer Staples"
"TRV","Financials"
"DIS","Consumer Discretionary"
"TMO","Health Care"
"TJX","Consumer Discretionary"
"TSCO","Consumer Discretionary"
"TDG","Industrials"
"TRIP","Consumer Discretionary"
"TSN","Consumer Staples"
"USB","Financials"
"UDR","Real Estate"
"ULTA","Consumer Discretionary"
"UAA","Consumer Discretionary"
"UA","Consumer Discretionary"
"UNP","Industrials"
"UAL","Industrials"
"UNH","Health Care"
"UPS","Industrials"
"URI","Industrials"
"UHS","Health Care"
"UNM","Financials"
"VFC","Consumer Discretionary"
"VLO","Energy"
"VTR","Real Estate"
"VRSN","Information Technology"
"VRSK","Industrials"
"VZ","Telecommunication Services"
"VRTX","Health Care"
"V","Information Technology"
"VNO","Real Estate"
"VMC","Materials"
"WMT","Consumer Staples"
"WBA","Consumer Staples"
"WM","Industrials"
"WAT","Health Care"
"WEC","Utilities"
"WFC","Financials"
"WDC","Information Technology"
"WU","Information Technology"
"WRK","Materials"
"WY","Real Estate"
"WHR","Consumer Discretionary"
"WMB","Energy"
"WYNN","Consumer Discretionary"
"XEL","Utilities"
"XRX","Information Technology"
"XYL","Industrials"
"YUM","Consumer Discretionary"
"ZBH","Health Care"
"ZION","Financials"
"ZTS","Health Care"
