name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
InterestExpense,"117,000,000","32,000,000","26,000,000","31,900,000","26,900,000","25,900,000","25,300,000","20,500,000","34,400,000","34,900,000","36,300,000","30,900,000","26,400,000","25,500,000","28,100,000","30,000,000","29,900,000","27,200,000","24,300,000","22,600,000","22,600,000","22,800,000","22,100,000","21,800,000","21,700,000","22,300,000","22,700,000","22,600,000","23,000,000","23,900,000","35,500,000","40,300,000","40,400,000","41,500,000","40,900,000","42,500,000","53,600,000","53,200,000","53,900,000"
NetInterestIncome,"-121,000,000","-32,000,000","-30,000,000","-14,700,000","-44,100,000","-25,900,000","-25,300,000","-4,400,000","-50,400,000","-34,900,000","-36,400,000","-42,500,000","-26,400,000","-25,500,000","-32,300,000","-30,000,000","-29,900,000","-39,000,000","-24,300,000","-18,300,000","-22,600,000","-27,100,000","-22,100,000","-21,800,000","-21,700,000","-22,300,000","-22,700,000","-22,600,000","-23,000,000","-23,900,000","-35,500,000","-40,300,000","-40,400,000","-41,500,000","-40,900,000","-42,500,000","-53,600,000","-53,200,000","-53,900,000"
EBIT,"874,000,000","147,000,000","129,000,000","253,400,000","344,000,000","134,900,000","92,700,000","199,500,000","64,100,000","93,400,000","29,500,000","110,700,000","69,000,000","76,800,000","14,700,000","119,400,000","62,600,000","55,200,000","26,200,000","91,800,000","57,300,000","49,700,000","26,900,000","99,100,000","35,700,000","62,100,000","36,500,000","85,300,000","65,000,000","66,000,000","1,200,000","93,500,000","55,000,000","45,900,000","36,100,000","73,700,000","39,600,000","33,600,000","32,400,000"
EBITDA,"1,202,000,000"
ReconciledCostOfRevenue,"2,949,000,000","812,000,000","701,000,000","748,900,000","687,700,000","612,600,000","596,800,000","613,000,000","521,800,000","489,200,000","487,000,000","469,200,000","418,800,000","421,600,000","403,300,000","451,900,000","436,200,000","418,900,000","403,800,000","401,700,000","365,200,000","335,800,000","318,100,000","344,400,000","311,800,000","302,800,000","301,500,000","328,400,000","294,400,000","299,700,000","293,000,000","329,300,000","301,400,000","303,300,000","295,100,000","331,500,000","309,600,000","296,100,000","294,500,000"
ReconciledDepreciation,"328,000,000","98,000,000","81,000,000","73,000,000","75,900,000","71,000,000","69,100,000","66,400,000","64,800,000","61,900,000","60,600,000","54,700,000","66,400,000","54,600,000","52,900,000","52,600,000","51,700,000","46,800,000","39,000,000","38,700,000","36,500,000","35,500,000","35,800,000","35,100,000","34,800,000","35,200,000","35,500,000","36,200,000","34,400,000","35,200,000","35,000,000","34,000,000","35,100,000","37,300,000","36,500,000","37,300,000","39,100,000","38,500,000","37,300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"604,000,000","97,000,000","93,000,000","182,400,000","231,800,000","88,400,000","82,400,000","154,200,000","20,900,000","45,500,000","100,000","65,700,000","31,700,000","49,000,000","-14,400,000","82,700,000","19,000,000","-21,900,000","3,800,000","61,800,000","26,000,000","17,400,000","4,600,000","61,900,000","9,800,000","30,700,000","9,100,000","153,800,000","31,500,000","46,700,000","-19,900,000","27,200,000","8,400,000","-18,600,000","1,900,000","13,100,000","-13,900,000","-27,600,000","-19,500,000"
TotalUnusualItemsExcludingGoodwill,"158,000,000","-15,000,000","-8,000,000","21,200,000","168,800,000","-5,900,000","-2,100,000","-8,100,000","3,400,000","-8,900,000","2,600,000","-3,900,000","200,000","-700,000","-14,300,000","10,100,000","-12,000,000","-5,600,000","-6,800,000","-19,700,000","-9,200,000","1,500,000","-1,100,000","-2,400,000","2,100,000","3,400,000","-2,200,000","-9,900,000","-5,000,000","-1,700,000","-41,700,000","-10,600,000","-8,400,000","-3,500,000","-3,000,000","-6,300,000","-5,800,000","-8,200,000","-3,300,000"
TotalUnusualItems,"158,000,000","-15,000,000","-8,000,000","21,200,000","168,800,000","-5,900,000","-2,100,000","-8,100,000","3,400,000","-8,900,000","2,600,000","-3,900,000","200,000","-700,000","-14,300,000","10,100,000","-12,000,000","-5,600,000","-6,800,000","-19,700,000","-9,200,000","1,500,000","-1,100,000","-2,400,000","2,100,000","3,400,000","-2,200,000","-9,900,000","-5,000,000","-1,700,000","-41,700,000","-10,600,000","-8,400,000","-3,500,000","-3,000,000","-6,300,000","-5,800,000","-8,200,000","-3,300,000"
NormalizedEBITDA,"1,044,000,000","260,000,000","218,000,000","305,200,000","251,100,000","211,800,000","163,900,000","274,000,000","125,500,000","164,200,000","87,500,000","169,300,000","135,200,000","132,100,000","81,900,000","161,900,000","126,300,000","107,600,000","72,000,000","150,200,000","103,000,000","83,700,000","63,800,000","136,600,000","68,400,000","93,900,000","74,200,000","131,400,000","104,400,000","102,900,000","77,900,000","138,100,000","98,500,000","86,700,000","75,600,000","117,300,000","84,500,000","80,300,000","73,000,000"
TaxRateForCalcs,"0.202","0.157","0.097","0.177","0.269","0.189","0.27","0.139","0.296","0.222","0.27","0.109","0.256","0.045","0.27","0.075","0.27","0.4","0.4","0.107","0.251","0.353","0.042","0.199","0.3","0.231","0.355","0.4","0.267","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.007","0.35","0.093"
TaxEffectOfUnusualItems,"31,933,949.802","-2,347,826.087","-776,699.029","3,742,302.483","45,407,253.232","-1,115,045.872","-567,000","-1,122,234.637","1,007,407.407","-1,977,777.778","702,000","-425,187.97","51,173.709","-31,384.016","-3,861,000","756,935.123","-3,240,000","-2,240,000","-2,720,000","-2,106,647.399","-2,306,628.242","529,739.777","-45,833.333","-478,137.128","630,000","785,929.648","-781,159.42","-3,960,000","-1,333,333.333","-595,000","-14,595,000","-3,710,000","-2,940,000","-1,225,000","-1,050,000","-2,205,000","-41,428.571","-2,870,000","-306,976.744"
